;kingdom;phylum;class;order;family;species;iNatClass;first_level;second_level;third_level;fourth_level;fifth_level;observations_per_species;second_level_taxonomic_rank;third_level_taxonomic_rank;fourth_level_taxonomic_rank;fifth_level_taxonomic_rank;Observations;Average_observations_per_species_for_the_family
14;Animalia;Chordata;Amphibia;Anura;Hylidae;Pseudacris triseriata;Amphibians;Amphibians;Anura;Hylidae;0;0;1799;Order;Family;NA;NA;36941;5277
15;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates catesbeianus;Amphibians;Amphibians;Anura;Ranidae;0;0;14050;Order;Family;NA;NA;104927;11659
16;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates clamitans;Amphibians;Amphibians;Anura;Ranidae;0;0;35080;Order;Family;NA;NA;104927;11659
17;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates palustris;Amphibians;Amphibians;Anura;Ranidae;0;0;2012;Order;Family;NA;NA;104927;11659
18;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates pipiens;Amphibians;Amphibians;Anura;Ranidae;0;0;32251;Order;Family;NA;NA;104927;11659
19;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates septentrionalis;Amphibians;Amphibians;Anura;Ranidae;0;0;2161;Order;Family;NA;NA;104927;11659
20;Animalia;Chordata;Amphibia;Anura;Ranidae;Lithobates sylvaticus;Amphibians;Amphibians;Anura;Ranidae;0;0;15660;Order;Family;NA;NA;104927;11659
21;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana aurora;Amphibians;Amphibians;Anura;Ranidae;0;0;2482;Order;Family;NA;NA;104927;11659
22;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana luteiventris;Amphibians;Amphibians;Anura;Ranidae;0;0;1208;Order;Family;NA;NA;104927;11659
23;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana pretiosa;Amphibians;Amphibians;Anura;Ranidae;0;0;23;Order;Family;NA;NA;104927;11659
24;Animalia;Chordata;Amphibia;Anura;Scaphiopodidae;Spea bombifrons;Amphibians;Amphibians;Anura;Scaphiopodidae;0;0;145;Order;Family;NA;NA;377;188
25;Animalia;Chordata;Amphibia;Anura;Scaphiopodidae;Spea intermontana;Amphibians;Amphibians;Anura;Scaphiopodidae;0;0;232;Order;Family;NA;NA;377;188
26;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma gracile;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;1012;Order;Family;NA;NA;14999;1667
27;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma jeffersonianum;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;178;Order;Family;NA;NA;14999;1667
28;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma laterale;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;6150;Order;Family;NA;NA;14999;1667
29;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma macrodactylum;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;941;Order;Family;NA;NA;14999;1667
30;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma maculatum;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;5859;Order;Family;NA;NA;14999;1667
31;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma mavortium;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;703;Order;Family;NA;NA;14999;1667
32;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma texanum;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;65;Order;Family;NA;NA;14999;1667
33;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Ambystoma tigrinum;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;14;Order;Family;NA;NA;14999;1667
34;Animalia;Chordata;Amphibia;Caudata;Ambystomatidae;Dicamptodon tenebrosus;Amphibians;Amphibians;Caudata;Ambystomatidae;0;0;77;Order;Family;NA;NA;14999;1667
35;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Aneides vagrans;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;389;Order;Family;NA;NA;22191;2219
36;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Desmognathus fuscus;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;230;Order;Family;NA;NA;22191;2219
37;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Desmognathus ochrophaeus;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;48;Order;Family;NA;NA;22191;2219
38;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Ensatina eschscholtzii;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;424;Order;Family;NA;NA;22191;2219
39;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Eurycea bislineata;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;970;Order;Family;NA;NA;22191;2219
40;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Gyrinophilus porphyriticus;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;28;Order;Family;NA;NA;22191;2219
41;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Hemidactylium scutatum;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;619;Order;Family;NA;NA;22191;2219
42;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Plethodon cinereus;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;18009;Order;Family;NA;NA;22191;2219
43;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Plethodon idahoensis;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;6;Order;Family;NA;NA;22191;2219
44;Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Plethodon vehiculum;Amphibians;Amphibians;Caudata;Plethodontidae;0;0;1468;Order;Family;NA;NA;22191;2219
45;Animalia;Chordata;Amphibia;Caudata;Proteidae;Necturus maculosus;Amphibians;Amphibians;Caudata;Proteidae;0;0;429;Order;Family;NA;NA;429;429
46;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Notophthalmus viridescens;Amphibians;Amphibians;Caudata;Salamandridae;0;0;3456;Order;Family;NA;NA;5499;2750
47;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Taricha granulosa;Amphibians;Amphibians;Caudata;Salamandridae;0;0;2043;Order;Family;NA;NA;5499;2750
48;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter cooperii;Birds;Birds;Accipitriformes;Accipitridae;0;0;1;Order;Family;NA;NA;85421;5339
49;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter gentilis;Birds;Birds;Accipitriformes;Accipitridae;0;0;0;Order;Family;NA;NA;85421;5339
50;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter striatus;Birds;Birds;Accipitriformes;Accipitridae;0;0;3692;Order;Family;NA;NA;85421;5339
51;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila chrysaetos;Birds;Birds;Accipitriformes;Accipitridae;0;0;1334;Order;Family;NA;NA;85421;5339
52;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo albonotatus;Birds;Birds;Accipitriformes;Accipitridae;0;0;0;Order;Family;NA;NA;85421;5339
53;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo jamaicensis;Birds;Birds;Accipitriformes;Accipitridae;0;0;22737;Order;Family;NA;NA;85421;5339
54;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo lagopus;Birds;Birds;Accipitriformes;Accipitridae;0;0;3284;Order;Family;NA;NA;85421;5339
55;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo lineatus;Birds;Birds;Accipitriformes;Accipitridae;0;0;1606;Order;Family;NA;NA;85421;5339
56;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo platypterus;Birds;Birds;Accipitriformes;Accipitridae;0;0;4517;Order;Family;NA;NA;85421;5339
57;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo regalis;Birds;Birds;Accipitriformes;Accipitridae;0;0;593;Order;Family;NA;NA;85421;5339
58;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo swainsoni;Birds;Birds;Accipitriformes;Accipitridae;0;0;3447;Order;Family;NA;NA;85421;5339
59;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Circus hudsonius;Birds;Birds;Accipitriformes;Accipitridae;0;0;6436;Order;Family;NA;NA;85421;5339
60;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Elanoides forficatus;Birds;Birds;Accipitriformes;Accipitridae;0;0;114;Order;Family;NA;NA;85421;5339
61;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Elanus leucurus;Birds;Birds;Accipitriformes;Accipitridae;0;0;1;Order;Family;NA;NA;85421;5339
62;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Haliaeetus leucocephalus;Birds;Birds;Accipitriformes;Accipitridae;0;0;37608;Order;Family;NA;NA;85421;5339
63;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Ictinia mississippiensis;Birds;Birds;Accipitriformes;Accipitridae;0;0;51;Order;Family;NA;NA;85421;5339
64;Animalia;Chordata;Aves;Accipitriformes;Cathartidae;Cathartes aura;Birds;Birds;Accipitriformes;Cathartidae;0;0;18155;Order;Family;NA;NA;18352;6117
65;Animalia;Chordata;Aves;Accipitriformes;Cathartidae;Coragyps atratus;Birds;Birds;Accipitriformes;Cathartidae;0;0;197;Order;Family;NA;NA;18352;6117
66;Animalia;Chordata;Aves;Accipitriformes;Cathartidae;Gymnogyps californianus;Birds;Birds;Accipitriformes;Cathartidae;0;0;0;Order;Family;NA;NA;18352;6117
67;Animalia;Chordata;Aves;Accipitriformes;Pandionidae;Pandion haliaetus;Birds;Birds;Accipitriformes;Pandionidae;0;0;12821;Order;Family;NA;NA;12821;12821
68;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aix sponsa;Birds;Birds;Anseriformes;Anatidae;0;0;20358;Order;Family;NA;NA;408542;6924
69;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas acuta;Birds;Birds;Anseriformes;Anatidae;0;0;6393;Order;Family;NA;NA;408542;6924
70;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas crecca;Birds;Birds;Anseriformes;Anatidae;0;0;8031;Order;Family;NA;NA;408542;6924
71;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas fulvigula;Birds;Birds;Anseriformes;Anatidae;0;0;1;Order;Family;NA;NA;408542;6924
72;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas platyrhynchos;Birds;Birds;Anseriformes;Anatidae;0;0;77523;Order;Family;NA;NA;408542;6924
73;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas rubripes;Birds;Birds;Anseriformes;Anatidae;0;0;10670;Order;Family;NA;NA;408542;6924
74;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser albifrons;Birds;Birds;Anseriformes;Anatidae;0;0;1774;Order;Family;NA;NA;408542;6924
75;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser anser;Birds;Birds;Anseriformes;Anatidae;0;0;44;Order;Family;NA;NA;408542;6924
76;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser brachyrhynchus;Birds;Birds;Anseriformes;Anatidae;0;0;169;Order;Family;NA;NA;408542;6924
77;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser caerulescens;Birds;Birds;Anseriformes;Anatidae;0;0;6042;Order;Family;NA;NA;408542;6924
78;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser canagicus;Birds;Birds;Anseriformes;Anatidae;0;0;3;Order;Family;NA;NA;408542;6924
79;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser fabalis;Birds;Birds;Anseriformes;Anatidae;0;0;1;Order;Family;NA;NA;408542;6924
80;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser rossii;Birds;Birds;Anseriformes;Anatidae;0;0;590;Order;Family;NA;NA;408542;6924
81;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser serrirostris;Birds;Birds;Anseriformes;Anatidae;0;0;48;Order;Family;NA;NA;408542;6924
82;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya affinis;Birds;Birds;Anseriformes;Anatidae;0;0;7330;Order;Family;NA;NA;408542;6924
83;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya americana;Birds;Birds;Anseriformes;Anatidae;0;0;4660;Order;Family;NA;NA;408542;6924
84;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya collaris;Birds;Birds;Anseriformes;Anatidae;0;0;11413;Order;Family;NA;NA;408542;6924
85;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya fuligula;Birds;Birds;Anseriformes;Anatidae;0;0;407;Order;Family;NA;NA;408542;6924
86;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya marila;Birds;Birds;Anseriformes;Anatidae;0;0;5798;Order;Family;NA;NA;408542;6924
87;Animalia;Chordata;Aves;Anseriformes;Anatidae;Aythya valisineria;Birds;Birds;Anseriformes;Anatidae;0;0;2999;Order;Family;NA;NA;408542;6924
88;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta bernicla;Birds;Birds;Anseriformes;Anatidae;0;0;1324;Order;Family;NA;NA;408542;6924
89;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta canadensis;Birds;Birds;Anseriformes;Anatidae;0;0;63170;Order;Family;NA;NA;408542;6924
90;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta hutchinsii;Birds;Birds;Anseriformes;Anatidae;0;0;1802;Order;Family;NA;NA;408542;6924
91;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta leucopsis;Birds;Birds;Anseriformes;Anatidae;0;0;145;Order;Family;NA;NA;408542;6924
92;Animalia;Chordata;Aves;Anseriformes;Anatidae;Bucephala albeola;Birds;Birds;Anseriformes;Anatidae;0;0;17484;Order;Family;NA;NA;408542;6924
93;Animalia;Chordata;Aves;Anseriformes;Anatidae;Bucephala clangula;Birds;Birds;Anseriformes;Anatidae;0;0;17345;Order;Family;NA;NA;408542;6924
94;Animalia;Chordata;Aves;Anseriformes;Anatidae;Bucephala islandica;Birds;Birds;Anseriformes;Anatidae;0;0;4334;Order;Family;NA;NA;408542;6924
95;Animalia;Chordata;Aves;Anseriformes;Anatidae;Camptorhynchus labradorius;Birds;Birds;Anseriformes;Anatidae;0;0;2;Order;Family;NA;NA;408542;6924
96;Animalia;Chordata;Aves;Anseriformes;Anatidae;Clangula hyemalis;Birds;Birds;Anseriformes;Anatidae;0;0;6180;Order;Family;NA;NA;408542;6924
97;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus buccinator;Birds;Birds;Anseriformes;Anatidae;0;0;17833;Order;Family;NA;NA;408542;6924
98;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus columbianus;Birds;Birds;Anseriformes;Anatidae;0;0;3064;Order;Family;NA;NA;408542;6924
99;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus cygnus;Birds;Birds;Anseriformes;Anatidae;0;0;37;Order;Family;NA;NA;408542;6924
100;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus olor;Birds;Birds;Anseriformes;Anatidae;0;0;7896;Order;Family;NA;NA;408542;6924
101;Animalia;Chordata;Aves;Anseriformes;Anatidae;Dendrocygna autumnalis;Birds;Birds;Anseriformes;Anatidae;0;0;193;Order;Family;NA;NA;408542;6924
102;Animalia;Chordata;Aves;Anseriformes;Anatidae;Dendrocygna bicolor;Birds;Birds;Anseriformes;Anatidae;0;0;0;Order;Family;NA;NA;408542;6924
103;Animalia;Chordata;Aves;Anseriformes;Anatidae;Histrionicus histrionicus;Birds;Birds;Anseriformes;Anatidae;0;0;4641;Order;Family;NA;NA;408542;6924
104;Animalia;Chordata;Aves;Anseriformes;Anatidae;Lophodytes cucullatus;Birds;Birds;Anseriformes;Anatidae;0;0;15351;Order;Family;NA;NA;408542;6924
105;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mareca americana;Birds;Birds;Anseriformes;Anatidae;0;0;13434;Order;Family;NA;NA;408542;6924
106;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mareca falcata;Birds;Birds;Anseriformes;Anatidae;0;0;0;Order;Family;NA;NA;408542;6924
107;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mareca penelope;Birds;Birds;Anseriformes;Anatidae;0;0;1131;Order;Family;NA;NA;408542;6924
108;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mareca strepera;Birds;Birds;Anseriformes;Anatidae;0;0;7907;Order;Family;NA;NA;408542;6924
109;Animalia;Chordata;Aves;Anseriformes;Anatidae;Melanitta americana;Birds;Birds;Anseriformes;Anatidae;0;0;1381;Order;Family;NA;NA;408542;6924
110;Animalia;Chordata;Aves;Anseriformes;Anatidae;Melanitta deglandi;Birds;Birds;Anseriformes;Anatidae;0;0;3311;Order;Family;NA;NA;408542;6924
111;Animalia;Chordata;Aves;Anseriformes;Anatidae;Melanitta perspicillata;Birds;Birds;Anseriformes;Anatidae;0;0;3932;Order;Family;NA;NA;408542;6924
112;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergellus albellus;Birds;Birds;Anseriformes;Anatidae;0;0;6;Order;Family;NA;NA;408542;6924
113;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus merganser;Birds;Birds;Anseriformes;Anatidae;0;0;20233;Order;Family;NA;NA;408542;6924
114;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus serrator;Birds;Birds;Anseriformes;Anatidae;0;0;8008;Order;Family;NA;NA;408542;6924
115;Animalia;Chordata;Aves;Anseriformes;Anatidae;Oxyura jamaicensis;Birds;Birds;Anseriformes;Anatidae;0;0;4378;Order;Family;NA;NA;408542;6924
116;Animalia;Chordata;Aves;Anseriformes;Anatidae;Polysticta stelleri;Birds;Birds;Anseriformes;Anatidae;0;0;1;Order;Family;NA;NA;408542;6924
117;Animalia;Chordata;Aves;Anseriformes;Anatidae;Sibirionetta formosa;Birds;Birds;Anseriformes;Anatidae;0;0;0;Order;Family;NA;NA;408542;6924
118;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria fischeri;Birds;Birds;Anseriformes;Anatidae;0;0;0;Order;Family;NA;NA;408542;6924
119;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria mollissima;Birds;Birds;Anseriformes;Anatidae;0;0;3644;Order;Family;NA;NA;408542;6924
120;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria spectabilis;Birds;Birds;Anseriformes;Anatidae;0;0;537;Order;Family;NA;NA;408542;6924
121;Animalia;Chordata;Aves;Anseriformes;Anatidae;Spatula clypeata;Birds;Birds;Anseriformes;Anatidae;0;0;8019;Order;Family;NA;NA;408542;6924
122;Animalia;Chordata;Aves;Anseriformes;Anatidae;Spatula cyanoptera;Birds;Birds;Anseriformes;Anatidae;0;0;1135;Order;Family;NA;NA;408542;6924
123;Animalia;Chordata;Aves;Anseriformes;Anatidae;Spatula discors;Birds;Birds;Anseriformes;Anatidae;0;0;6401;Order;Family;NA;NA;408542;6924
124;Animalia;Chordata;Aves;Anseriformes;Anatidae;Spatula querquedula;Birds;Birds;Anseriformes;Anatidae;0;0;18;Order;Family;NA;NA;408542;6924
125;Animalia;Chordata;Aves;Anseriformes;Anatidae;Tadorna ferruginea;Birds;Birds;Anseriformes;Anatidae;0;0;2;Order;Family;NA;NA;408542;6924
126;Animalia;Chordata;Aves;Anseriformes;Anatidae;Tadorna tadorna;Birds;Birds;Anseriformes;Anatidae;0;0;9;Order;Family;NA;NA;408542;6924
127;Animalia;Chordata;Aves;Apodiformes;Apodidae;Aeronautes saxatalis;Birds;Birds;Apodiformes;Apodidae;0;0;141;Order;Family;NA;NA;1882;269
128;Animalia;Chordata;Aves;Apodiformes;Apodidae;Apus apus;Birds;Birds;Apodiformes;Apodidae;0;0;1;Order;Family;NA;NA;1882;269
129;Animalia;Chordata;Aves;Apodiformes;Apodidae;Apus pacificus;Birds;Birds;Apodiformes;Apodidae;0;0;0;Order;Family;NA;NA;1882;269
130;Animalia;Chordata;Aves;Apodiformes;Apodidae;Chaetura pelagica;Birds;Birds;Apodiformes;Apodidae;0;0;1278;Order;Family;NA;NA;1882;269
131;Animalia;Chordata;Aves;Apodiformes;Apodidae;Chaetura vauxi;Birds;Birds;Apodiformes;Apodidae;0;0;281;Order;Family;NA;NA;1882;269
132;Animalia;Chordata;Aves;Apodiformes;Apodidae;Cypseloides niger;Birds;Birds;Apodiformes;Apodidae;0;0;181;Order;Family;NA;NA;1882;269
133;Animalia;Chordata;Aves;Apodiformes;Apodidae;Streptoprocne zonaris;Birds;Birds;Apodiformes;Apodidae;0;0;0;Order;Family;NA;NA;1882;269
134;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Archilochus alexandri;Birds;Birds;Apodiformes;Trochilidae;0;0;249;Order;Family;NA;NA;23821;1985
135;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Archilochus colubris;Birds;Birds;Apodiformes;Trochilidae;0;0;9624;Order;Family;NA;NA;23821;1985
136;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Basilinna xantusii;Birds;Birds;Apodiformes;Trochilidae;0;0;2;Order;Family;NA;NA;23821;1985
137;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Calypte anna;Birds;Birds;Apodiformes;Trochilidae;0;0;9583;Order;Family;NA;NA;23821;1985
138;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Calypte costae;Birds;Birds;Apodiformes;Trochilidae;0;0;15;Order;Family;NA;NA;23821;1985
139;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Colibri thalassinus;Birds;Birds;Apodiformes;Trochilidae;0;0;0;Order;Family;NA;NA;23821;1985
140;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Cynanthus latirostris;Birds;Birds;Apodiformes;Trochilidae;0;0;2;Order;Family;NA;NA;23821;1985
141;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Eugenes fulgens;Birds;Birds;Apodiformes;Trochilidae;0;0;0;Order;Family;NA;NA;23821;1985
142;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Lampornis amethystinus;Birds;Birds;Apodiformes;Trochilidae;0;0;1;Order;Family;NA;NA;23821;1985
143;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Selasphorus calliope;Birds;Birds;Apodiformes;Trochilidae;0;0;742;Order;Family;NA;NA;23821;1985
144;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Selasphorus platycercus;Birds;Birds;Apodiformes;Trochilidae;0;0;2;Order;Family;NA;NA;23821;1985
145;Animalia;Chordata;Aves;Apodiformes;Trochilidae;Selasphorus rufus;Birds;Birds;Apodiformes;Trochilidae;0;0;3601;Order;Family;NA;NA;23821;1985
146;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Antrostomus arizonae;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;0;Order;Family;NA;NA;3837;640
147;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Antrostomus carolinensis;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;47;Order;Family;NA;NA;3837;640
148;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Antrostomus vociferus;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;974;Order;Family;NA;NA;3837;640
149;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Chordeiles acutipennis;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;2;Order;Family;NA;NA;3837;640
150;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Chordeiles minor;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;2717;Order;Family;NA;NA;3837;640
151;Animalia;Chordata;Aves;Caprimulgiformes;Caprimulgidae;Phalaenoptilus nuttallii;Birds;Birds;Caprimulgiformes;Caprimulgidae;0;0;97;Order;Family;NA;NA;3837;640
152;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Aethia cristatella;Birds;Birds;Charadriiformes;Alcidae;0;0;0;Order;Family;NA;NA;10149;483
153;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Aethia psittacula;Birds;Birds;Charadriiformes;Alcidae;0;0;1;Order;Family;NA;NA;10149;483
154;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Aethia pusilla;Birds;Birds;Charadriiformes;Alcidae;0;0;0;Order;Family;NA;NA;10149;483
155;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Alca torda;Birds;Birds;Charadriiformes;Alcidae;0;0;1068;Order;Family;NA;NA;10149;483
156;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Alle alle;Birds;Birds;Charadriiformes;Alcidae;0;0;197;Order;Family;NA;NA;10149;483
157;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Brachyramphus brevirostris;Birds;Birds;Charadriiformes;Alcidae;0;0;2;Order;Family;NA;NA;10149;483
158;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Brachyramphus marmoratus;Birds;Birds;Charadriiformes;Alcidae;0;0;700;Order;Family;NA;NA;10149;483
